step	checkpoint	status	fid	cfg	num_requested	num_png	seed	timestamp_utc
1000000	/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1000000.pt	ok	48.29311023150069	1.0	50000	50176	0	2026-07-22T03:33:11.273379+00:00
1050000	/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1050000.pt	ok	48.018564188901564	1.0	50000	50176	0	2026-07-22T06:16:58.701669+00:00
1100000	/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1100000.pt	ok	47.47688964066043	1.0	50000	50176	0	2026-07-22T09:01:01.876690+00:00
1150000	/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1150000.pt	ok	47.10925915220656	1.0	50000	50176	0	2026-07-22T11:44:42.044226+00:00
1200000	/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1200000.pt	ok	46.718045833545546	1.0	50000	50176	0	2026-07-22T14:28:44.897893+00:00
1250000	/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1250000.pt	ok	46.414511520279234	1.0	50000	50176	0	2026-07-22T17:32:00.597820+00:00
1300000	/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1300000.pt	ok	45.92057227506251	1.0	50000	50176	0	2026-07-22T20:16:10.465171+00:00
1350000	/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1350000.pt	ok	45.89153691429402	1.0	50000	50176	0	2026-07-22T23:00:16.427930+00:00
1400000	/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1400000.pt	ok	45.54178671851474	1.0	50000	50176	0	2026-07-23T01:44:23.027126+00:00
1450000	/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1450000.pt	ok	45.116327425034854	1.0	50000	50176	0	2026-07-23T04:28:29.462587+00:00
