model,step,epoch,fid,cfg,num_png,checkpoint,timestamp_utc,source
Base,1000000,199.84012789768187,48.29311023150069,1.0,50176,/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1000000.pt,2026-07-22T03:33:11.273379+00:00,experiments/bs256_lr1e-4/base/fid_cfg1_50k.tsv
Base,1050000,209.83213429256594,48.018564188901564,1.0,50176,/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1050000.pt,2026-07-22T06:16:58.701669+00:00,experiments/bs256_lr1e-4/base/fid_cfg1_50k.tsv
Base,1100000,219.82414068745004,47.47688964066043,1.0,50176,/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1100000.pt,2026-07-22T09:01:01.876690+00:00,experiments/bs256_lr1e-4/base/fid_cfg1_50k.tsv
Base,1150000,229.81614708233414,47.10925915220656,1.0,50176,/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1150000.pt,2026-07-22T11:44:42.044226+00:00,experiments/bs256_lr1e-4/base/fid_cfg1_50k.tsv
Base,1200000,239.8081534772182,46.718045833545546,1.0,50176,/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1200000.pt,2026-07-22T14:28:44.897893+00:00,experiments/bs256_lr1e-4/base/fid_cfg1_50k.tsv
Base,1250000,249.8001598721023,46.414511520279234,1.0,50176,/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1250000.pt,2026-07-22T17:32:00.597820+00:00,experiments/bs256_lr1e-4/base/fid_cfg1_50k.tsv
Base,1300000,259.7921662669864,45.92057227506251,1.0,50176,/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1300000.pt,2026-07-22T20:16:10.465171+00:00,experiments/bs256_lr1e-4/base/fid_cfg1_50k.tsv
Base,1350000,269.7841726618705,45.89153691429402,1.0,50176,/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1350000.pt,2026-07-22T23:00:16.427930+00:00,experiments/bs256_lr1e-4/base/fid_cfg1_50k.tsv
Base,1400000,279.7761790567546,45.54178671851474,1.0,50176,/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1400000.pt,2026-07-23T01:44:23.027126+00:00,experiments/bs256_lr1e-4/base/fid_cfg1_50k.tsv
Base,1450000,289.7681854516387,45.116327425034854,1.0,50176,/home/nvidia/SiT-official-bs256/results-official-bs256-400k/000-SiT-S-2-Linear-velocity-None/checkpoints/1450000.pt,2026-07-23T04:28:29.462587+00:00,experiments/bs256_lr1e-4/base/fid_cfg1_50k.tsv
